PRESIDENT 2000
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Georgia,20001107,N/A,APPLING,County,"6,099","3,940","Bush, George W.",Challenger,"2,093","Gore, Albert Jr.",Challenger,Green,2,"Nader, Ralph",Challenger,64,"1,847",R,64.60,34.32,.03,1.05,65.31,34.69,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,ATKINSON,County,"2,071","1,228","Bush, George W.",Challenger,821,"Gore, Albert Jr.",Challenger,Green,1,"Nader, Ralph",Challenger,21,407,R,59.30,39.64,.05,1.01,59.93,40.07,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,BACON,County,"2,995","2,010","Bush, George W.",Challenger,956,"Gore, Albert Jr.",Challenger,Green,2,"Nader, Ralph",Challenger,27,"1,054",R,67.11,31.92,.07,.90,67.77,32.23,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,BAKER,County,"1,519",615,"Bush, George W.",Challenger,893,"Gore, Albert Jr.",Challenger,Green,N/A,"Nader, Ralph",Challenger,11,278,D,40.49,58.79,.00,.72,40.78,59.22,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,BALDWIN,County,"12,126","6,041","Bush, George W.",Challenger,"5,893","Gore, Albert Jr.",Challenger,Green,22,"Nader, Ralph",Challenger,170,148,R,49.82,48.60,.18,1.40,50.62,49.38,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,BANKS,County,"4,533","3,202","Bush, George W.",Challenger,"1,220","Gore, Albert Jr.",Challenger,Green,14,"Nader, Ralph",Challenger,97,"1,982",R,70.64,26.91,.31,2.14,72.41,27.59,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,BARROW,County,"12,102","7,925","Bush, George W.",Challenger,"3,657","Gore, Albert Jr.",Challenger,Green,61,"Nader, Ralph",Challenger,459,"4,268",R,65.49,30.22,.50,3.79,68.43,31.57,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,BARTOW,County,"22,781","14,720","Bush, George W.",Challenger,"7,508","Gore, Albert Jr.",Challenger,Green,55,"Nader, Ralph",Challenger,498,"7,212",R,64.62,32.96,.24,2.19,66.22,33.78,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,BEN HILL,County,"4,661","2,381","Bush, George W.",Challenger,"2,234","Gore, Albert Jr.",Challenger,Green,N/A,"Nader, Ralph",Challenger,46,147,R,51.08,47.93,.00,.99,51.59,48.41,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,BERRIEN,County,"4,410","2,718","Bush, George W.",Challenger,"1,640","Gore, Albert Jr.",Challenger,Green,N/A,"Nader, Ralph",Challenger,52,"1,078",R,61.63,37.19,.00,1.18,62.37,37.63,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,BIBB,County,"49,776","24,071","Bush, George W.",Challenger,"24,996","Gore, Albert Jr.",Challenger,Green,248,"Nader, Ralph",Challenger,461,925,D,48.36,50.22,.50,.93,49.06,50.94,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Georgia,20001107,N/A,BLECKLEY,County,"3,749","2,436","Bush, George W.",Challenger,"1,273","Gore, Albert Jr.",Challenger,Green,1,"Nader, Ralph",Challenger,39,"1,163",R,64.98,33.96,.03,1.04,65.68,34.32,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
